r,cm	e	O+	O2+	O3+	O4+	O-	O2-	O3-	O4-	O2[a]	O2[b]	O2[Hz]	O	O[1D]	O[1S]	O3	O2	Charge
0.001	1.61e-032	1.61e-032	1.61e-032	1.61e-032	1.61e-032	1.61e-032	1.61e-032	1.61e-032	1.61e-032	1.11e+013	1.30e+012	6.38e+006	3.58e+013	3.72e+002	9.28e+004	1.91e+013	1.61e+018	1.61e-032
0.005	1.47e+002	5.41e-001	9.92e+004	1.97e-033	5.25e+008	2.23e+006	5.52e+007	8.18e+008	1.91e-033	1.12e+013	2.85e+012	8.23e+007	3.63e+013	4.84e+003	1.21e+006	1.91e+013	1.61e+018	3.50e+008
0.010	3.61e+002	5.00e-001	9.10e+004	9.88e-035	6.17e+008	2.44e+006	5.22e+007	8.57e+008	9.62e-035	1.15e+013	4.94e+012	1.14e+008	3.76e+013	1.14e+004	1.76e+006	1.95e+013	1.61e+018	2.95e+008
0.015	6.63e+002	7.99e-001	1.39e+005	3.36e-036	9.32e+008	3.47e+006	6.76e+007	1.13e+009	3.32e-036	1.20e+013	7.06e+012	1.66e+008	3.95e+013	2.61e+004	2.63e+006	2.02e+013	1.61e+018	2.71e+008
0.020	1.16e+003	1.34e+000	2.17e+005	8.60e-038	1.40e+009	4.92e+006	9.40e+007	1.52e+009	8.67e-038	1.28e+013	9.24e+012	2.40e+008	4.19e+013	5.54e+004	3.96e+006	2.12e+013	1.61e+018	2.28e+008
0.025	1.99e+003	2.22e+000	3.31e+005	1.77e-039	1.98e+009	6.77e+006	1.27e+008	2.00e+009	1.82e-039	1.38e+013	1.15e+013	3.37e+008	4.50e+013	1.10e+005	5.84e+006	2.25e+013	1.61e+018	1.52e+008
0.030	3.44e+003	3.61e+000	4.89e+005	3.04e-041	2.68e+009	9.09e+006	1.69e+008	2.55e+009	3.19e-041	1.50e+013	1.38e+013	4.62e+008	4.87e+013	2.05e+005	8.41e+006	2.42e+013	1.61e+018	5.47e+007
0.035	5.98e+003	5.72e+000	7.02e+005	4.48e-043	3.49e+009	1.20e+007	2.22e+008	3.20e+009	4.81e-043	1.65e+013	1.62e+013	6.19e+008	5.29e+013	3.62e+005	1.18e+007	2.62e+013	1.61e+018	5.81e+007
0.040	1.03e+004	8.86e+000	9.83e+005	5.78e-045	4.41e+009	1.55e+007	2.86e+008	3.93e+009	6.35e-045	1.82e+013	1.87e+013	8.15e+008	5.79e+013	6.07e+005	1.62e+007	2.84e+013	1.61e+018	1.82e+008
0.045	1.76e+004	1.34e+001	1.34e+006	6.64e-047	5.46e+009	1.99e+007	3.62e+008	4.77e+009	7.46e-047	2.02e+013	2.13e+013	1.06e+009	6.34e+013	9.71e+005	2.18e+007	3.10e+013	1.61e+018	3.15e+008
0.050	2.94e+004	1.98e+001	1.79e+006	6.86e-049	6.63e+009	2.51e+007	4.50e+008	5.70e+009	7.89e-049	2.23e+013	2.40e+013	1.35e+009	6.95e+013	1.49e+006	2.88e+007	3.38e+013	1.61e+018	4.54e+008
0.055	4.77e+004	2.86e+001	2.34e+006	6.46e-051	7.91e+009	3.14e+007	5.55e+008	6.74e+009	7.58e-051	2.47e+013	2.68e+013	1.71e+009	7.63e+013	2.19e+006	3.72e+007	3.68e+013	1.61e+018	5.93e+008
0.060	7.51e+004	4.04e+001	3.01e+006	5.57e-053	9.32e+009	3.90e+007	6.77e+008	7.87e+009	6.68e-053	2.73e+013	2.96e+013	2.13e+009	8.36e+013	3.11e+006	4.74e+007	4.01e+013	1.61e+018	7.30e+008
0.065	1.14e+005	5.61e+001	3.81e+006	4.44e-055	1.08e+010	4.79e+007	8.19e+008	9.11e+009	5.44e-055	3.00e+013	3.26e+013	2.63e+009	9.15e+013	4.28e+006	5.95e+007	4.36e+013	1.61e+018	8.59e+008
0.070	1.69e+005	7.64e+001	4.74e+006	3.29e-057	1.24e+010	5.84e+007	9.85e+008	1.04e+010	4.11e-057	3.30e+013	3.56e+013	3.22e+009	1.00e+014	5.73e+006	7.36e+007	4.73e+013	1.61e+018	9.74e+008
0.075	2.43e+005	1.03e+002	5.83e+006	2.28e-059	1.41e+010	7.07e+007	1.18e+009	1.18e+010	2.90e-059	3.62e+013	3.86e+013	3.90e+009	1.09e+014	7.48e+006	9.00e+007	5.11e+013	1.61e+018	1.07e+009
0.080	3.39e+005	1.35e+002	7.08e+006	1.48e-061	1.59e+010	8.49e+007	1.40e+009	1.33e+010	1.92e-061	3.95e+013	4.17e+013	4.68e+009	1.19e+014	9.55e+006	1.09e+008	5.52e+013	1.60e+018	1.13e+009
0.085	4.61e+005	1.77e+002	8.52e+006	9.03e-064	1.77e+010	1.01e+008	1.64e+009	1.48e+010	1.19e-063	4.30e+013	4.49e+013	5.57e+009	1.29e+014	1.20e+007	1.30e+008	5.93e+013	1.60e+018	1.16e+009
0.090	6.12e+005	2.29e+002	1.02e+007	5.22e-066	1.96e+010	1.20e+008	1.91e+009	1.64e+010	7.02e-066	4.66e+013	4.81e+013	6.57e+009	1.40e+014	1.48e+007	1.54e+008	6.36e+013	1.60e+018	1.17e+009
0.095	7.97e+005	2.92e+002	1.20e+007	2.86e-068	2.15e+010	1.41e+008	2.20e+009	1.80e+010	3.91e-068	5.04e+013	5.13e+013	7.69e+009	1.51e+014	1.81e+007	1.82e+008	6.79e+013	1.60e+018	1.16e+009
0.100	1.02e+006	3.69e+002	1.41e+007	1.49e-070	2.34e+010	1.64e+008	2.51e+009	1.97e+010	2.07e-070	5.43e+013	5.44e+013	8.93e+009	1.62e+014	2.18e+007	2.12e+008	7.23e+013	1.60e+018	1.13e+009
0.105	1.28e+006	4.62e+002	1.65e+007	7.38e-073	2.54e+010	1.90e+008	2.84e+009	2.13e+010	1.05e-072	5.83e+013	5.76e+013	1.03e+010	1.74e+014	2.61e+007	2.45e+008	7.68e+013	1.60e+018	1.08e+009
0.110	1.59e+006	5.72e+002	1.90e+007	3.50e-075	2.73e+010	2.19e+008	3.18e+009	2.29e+010	5.04e-075	6.25e+013	6.08e+013	1.18e+010	1.87e+014	3.09e+007	2.82e+008	8.14e+013	1.60e+018	1.03e+009
0.115	1.95e+006	7.02e+002	2.18e+007	1.59e-077	2.93e+010	2.50e+008	3.54e+009	2.45e+010	2.32e-077	6.67e+013	6.39e+013	1.35e+010	2.00e+014	3.63e+007	3.22e+008	8.59e+013	1.60e+018	9.71e+008
0.120	2.37e+006	8.51e+002	2.49e+007	6.91e-080	3.12e+010	2.84e+008	3.92e+009	2.61e+010	1.03e-079	7.10e+013	6.69e+013	1.52e+010	2.13e+014	4.22e+007	3.65e+008	9.05e+013	1.60e+018	8.93e+008
0.125	2.84e+006	1.03e+003	2.83e+007	2.89e-082	3.31e+010	3.21e+008	4.32e+009	2.77e+010	4.35e-082	7.54e+013	6.99e+013	1.72e+010	2.26e+014	4.89e+007	4.12e+008	9.50e+013	1.60e+018	7.95e+008
0.130	3.38e+006	1.23e+003	3.19e+007	1.16e-084	3.50e+010	3.62e+008	4.74e+009	2.92e+010	1.78e-084	7.98e+013	7.29e+013	1.92e+010	2.40e+014	5.63e+007	4.62e+008	9.96e+013	1.60e+018	6.72e+008
0.135	3.98e+006	1.46e+003	3.58e+007	4.51e-087	3.68e+010	4.05e+008	5.16e+009	3.07e+010	6.99e-087	8.43e+013	7.58e+013	2.14e+010	2.54e+014	6.44e+007	5.15e+008	1.04e+014	1.60e+018	5.49e+008
0.140	4.64e+006	1.72e+003	4.00e+007	1.69e-089	3.86e+010	4.51e+008	5.58e+009	3.22e+010	2.65e-089	8.88e+013	7.86e+013	2.38e+010	2.69e+014	7.33e+007	5.72e+008	1.09e+014	1.60e+018	4.35e+008
0.145	5.38e+006	2.01e+003	4.45e+007	6.10e-092	4.04e+010	4.99e+008	6.00e+009	3.36e+010	9.72e-092	9.34e+013	8.14e+013	2.63e+010	2.83e+014	8.30e+007	6.33e+008	1.13e+014	1.60e+018	3.36e+008
0.150	6.19e+006	2.34e+003	4.92e+007	2.13e-094	4.21e+010	5.50e+008	6.40e+009	3.50e+010	3.44e-094	9.80e+013	8.41e+013	2.90e+010	2.98e+014	9.35e+007	6.97e+008	1.17e+014	1.60e+018	2.51e+008
0.155	7.06e+006	2.72e+003	5.43e+007	7.22e-097	4.38e+010	6.04e+008	6.81e+009	3.63e+010	1.18e-096	1.03e+014	8.67e+013	3.18e+010	3.13e+014	1.05e+008	7.65e+008	1.22e+014	1.60e+018	1.79e+008
0.160	8.01e+006	3.13e+003	5.97e+007	2.37e-099	4.55e+010	6.61e+008	7.20e+009	3.76e+010	3.93e-099	1.07e+014	8.93e+013	3.48e+010	3.28e+014	1.17e+008	8.36e+008	1.26e+014	1.60e+018	1.18e+008
0.165	9.03e+006	3.59e+003	6.55e+007	7.56e-102	4.72e+010	7.20e+008	7.60e+009	3.89e+010	1.27e-101	1.12e+014	9.18e+013	3.80e+010	3.43e+014	1.30e+008	9.12e+008	1.30e+014	1.59e+018	6.71e+007
0.170	1.01e+007	4.09e+003	7.15e+007	2.34e-104	4.89e+010	7.82e+008	7.98e+009	4.01e+010	3.98e-104	1.16e+014	9.42e+013	4.13e+010	3.58e+014	1.44e+008	9.91e+008	1.35e+014	1.59e+018	2.58e+007
0.175	1.13e+007	4.65e+003	7.80e+007	7.04e-107	5.05e+010	8.46e+008	8.37e+009	4.13e+010	1.21e-106	1.21e+014	9.66e+013	4.48e+010	3.74e+014	1.58e+008	1.08e+009	1.39e+014	1.59e+018	7.39e+006
0.180	1.25e+007	5.26e+003	8.48e+007	2.06e-109	5.21e+010	9.14e+008	8.75e+009	4.25e+010	3.60e-109	1.26e+014	9.90e+013	4.86e+010	3.89e+014	1.74e+008	1.16e+009	1.43e+014	1.59e+018	2.94e+007
0.185	1.38e+007	5.94e+003	9.20e+007	5.87e-112	5.37e+010	9.85e+008	9.13e+009	4.37e+010	1.04e-111	1.31e+014	1.01e+014	5.25e+010	4.05e+014	1.90e+008	1.26e+009	1.47e+014	1.59e+018	4.39e+007
0.190	1.52e+007	6.69e+003	9.97e+007	1.63e-114	5.53e+010	1.06e+009	9.51e+009	4.48e+010	2.92e-114	1.35e+014	1.04e+014	5.67e+010	4.21e+014	2.08e+008	1.35e+009	1.51e+014	1.59e+018	5.31e+007
0.195	1.66e+007	7.50e+003	1.08e+008	4.42e-117	5.69e+010	1.14e+009	9.89e+009	4.60e+010	8.01e-117	1.40e+014	1.06e+014	6.11e+010	4.37e+014	2.27e+008	1.46e+009	1.54e+014	1.59e+018	5.37e+007
0.200	1.82e+007	8.40e+003	1.16e+008	1.17e-119	5.85e+010	1.22e+009	1.03e+010	4.71e+010	2.14e-119	1.45e+014	1.08e+014	6.57e+010	4.53e+014	2.46e+008	1.57e+009	1.58e+014	1.59e+018	5.19e+007
0.205	1.98e+007	9.38e+003	1.26e+008	3.01e-122	6.00e+010	1.30e+009	1.07e+010	4.82e+010	5.60e-122	1.49e+014	1.10e+014	7.06e+010	4.69e+014	2.67e+008	1.68e+009	1.62e+014	1.59e+018	4.70e+007
0.210	2.15e+007	1.05e+004	1.35e+008	7.59e-125	6.16e+010	1.39e+009	1.10e+010	4.93e+010	1.43e-124	1.54e+014	1.12e+014	7.58e+010	4.86e+014	2.89e+008	1.80e+009	1.66e+014	1.59e+018	4.36e+007
0.215	2.33e+007	1.16e+004	1.46e+008	1.87e-127	6.32e+010	1.49e+009	1.14e+010	5.04e+010	3.56e-127	1.59e+014	1.14e+014	8.13e+010	5.02e+014	3.13e+008	1.93e+009	1.69e+014	1.59e+018	3.73e+007
0.220	2.52e+007	1.29e+004	1.57e+008	4.51e-130	6.48e+010	1.59e+009	1.18e+010	5.16e+010	8.69e-130	1.64e+014	1.16e+014	8.71e+010	5.19e+014	3.37e+008	2.06e+009	1.73e+014	1.59e+018	3.00e+007
0.225	2.72e+007	1.43e+004	1.68e+008	1.06e-132	6.64e+010	1.69e+009	1.22e+010	5.27e+010	2.07e-132	1.69e+014	1.19e+014	9.32e+010	5.36e+014	3.63e+008	2.21e+009	1.76e+014	1.59e+018	1.66e+007
0.230	2.94e+007	1.58e+004	1.81e+008	2.45e-135	6.81e+010	1.80e+009	1.27e+010	5.38e+010	4.85e-135	1.73e+014	1.21e+014	9.97e+010	5.53e+014	3.91e+008	2.35e+009	1.80e+014	1.59e+018	6.63e+006
0.235	3.16e+007	1.75e+004	1.94e+008	5.54e-138	6.97e+010	1.91e+009	1.31e+010	5.49e+010	1.11e-137	1.78e+014	1.23e+014	1.06e+011	5.70e+014	4.20e+008	2.51e+009	1.83e+014	1.59e+018	2.23e+006
0.240	3.40e+007	1.93e+004	2.07e+008	1.23e-140	7.13e+010	2.03e+009	1.35e+010	5.60e+010	2.49e-140	1.83e+014	1.25e+014	1.14e+011	5.88e+014	4.51e+008	2.68e+009	1.87e+014	1.58e+018	9.38e+006
0.245	3.65e+007	2.13e+004	2.22e+008	2.67e-143	7.30e+010	2.16e+009	1.39e+010	5.71e+010	5.46e-143	1.88e+014	1.27e+014	1.21e+011	6.05e+014	4.84e+008	2.85e+009	1.90e+014	1.58e+018	1.70e+007
0.250	3.92e+007	2.34e+004	2.37e+008	5.68e-146	7.47e+010	2.29e+009	1.43e+010	5.82e+010	1.18e-145	1.93e+014	1.29e+014	1.29e+011	6.23e+014	5.19e+008	3.03e+009	1.93e+014	1.58e+018	2.20e+007
0.255	4.20e+007	2.57e+004	2.54e+008	1.19e-148	7.64e+010	2.42e+009	1.48e+010	5.93e+010	2.49e-148	1.98e+014	1.31e+014	1.37e+011	6.41e+014	5.55e+008	3.22e+009	1.97e+014	1.58e+018	2.74e+007
0.260	4.49e+007	2.82e+004	2.71e+008	2.44e-151	7.81e+010	2.57e+009	1.52e+010	6.05e+010	5.17e-151	2.03e+014	1.33e+014	1.46e+011	6.59e+014	5.94e+008	3.42e+009	2.00e+014	1.58e+018	3.19e+007
0.265	4.81e+007	3.10e+004	2.89e+008	4.91e-154	7.98e+010	2.72e+009	1.57e+010	6.16e+010	1.05e-153	2.09e+014	1.35e+014	1.55e+011	6.78e+014	6.34e+008	3.63e+009	2.03e+014	1.58e+018	3.49e+007
0.270	5.14e+007	3.39e+004	3.08e+008	9.70e-157	8.15e+010	2.87e+009	1.61e+010	6.28e+010	2.11e-156	2.14e+014	1.37e+014	1.65e+011	6.97e+014	6.78e+008	3.85e+009	2.06e+014	1.58e+018	3.68e+007
0.275	5.48e+007	3.71e+004	3.29e+008	1.89e-159	8.33e+010	3.03e+009	1.66e+010	6.39e+010	4.14e-159	2.19e+014	1.40e+014	1.75e+011	7.16e+014	7.23e+008	4.08e+009	2.10e+014	1.58e+018	4.03e+007
0.280	5.85e+007	4.06e+004	3.50e+008	3.60e-162	8.51e+010	3.20e+009	1.71e+010	6.51e+010	8.00e-162	2.25e+014	1.42e+014	1.86e+011	7.35e+014	7.70e+008	4.32e+009	2.13e+014	1.58e+018	4.35e+007
0.285	6.24e+007	4.43e+004	3.73e+008	6.77e-165	8.69e+010	3.38e+009	1.75e+010	6.62e+010	1.52e-164	2.30e+014	1.44e+014	1.97e+011	7.55e+014	8.21e+008	4.57e+009	2.16e+014	1.58e+018	4.33e+007
0.290	6.65e+007	4.84e+004	3.96e+008	1.25e-167	8.87e+010	3.57e+009	1.80e+010	6.74e+010	2.84e-167	2.35e+014	1.46e+014	2.09e+011	7.74e+014	8.74e+008	4.84e+009	2.19e+014	1.58e+018	4.42e+007
0.295	7.07e+007	5.27e+004	4.21e+008	2.28e-170	9.05e+010	3.76e+009	1.85e+010	6.86e+010	5.22e-170	2.41e+014	1.48e+014	2.22e+011	7.95e+014	9.29e+008	5.11e+009	2.22e+014	1.58e+018	4.74e+007
0.300	7.52e+007	5.74e+004	4.48e+008	4.07e-173	9.24e+010	3.96e+009	1.90e+010	6.98e+010	9.45e-173	2.47e+014	1.51e+014	2.35e+011	8.15e+014	9.88e+008	5.40e+009	2.25e+014	1.58e+018	4.92e+007
0.305	8.00e+007	6.25e+004	4.76e+008	7.17e-176	9.43e+010	4.17e+009	1.95e+010	7.10e+010	1.68e-175	2.52e+014	1.53e+014	2.48e+011	8.36e+014	1.05e+009	5.70e+009	2.28e+014	1.58e+018	5.18e+007
0.310	8.49e+007	6.79e+004	5.05e+008	1.24e-178	9.62e+010	4.39e+009	2.00e+010	7.22e+010	2.95e-178	2.58e+014	1.55e+014	2.62e+011	8.57e+014	1.11e+009	6.02e+009	2.31e+014	1.57e+018	5.45e+007
0.315	9.02e+007	7.39e+004	5.36e+008	2.13e-181	9.81e+010	4.62e+009	2.05e+010	7.34e+010	5.09e-181	2.64e+014	1.58e+014	2.77e+011	8.78e+014	1.18e+009	6.34e+009	2.34e+014	1.57e+018	5.56e+007
0.320	9.56e+007	8.02e+004	5.69e+008	3.58e-184	1.00e+011	4.86e+009	2.10e+010	7.46e+010	8.67e-184	2.70e+014	1.60e+014	2.93e+011	9.00e+014	1.25e+009	6.69e+009	2.37e+014	1.57e+018	5.50e+007
0.325	1.01e+008	8.71e+004	6.03e+008	5.93e-187	1.02e+011	5.11e+009	2.15e+010	7.58e+010	1.45e-186	2.76e+014	1.63e+014	3.09e+011	9.22e+014	1.33e+009	7.05e+009	2.40e+014	1.57e+018	5.79e+007
0.330	1.07e+008	9.45e+004	6.39e+008	9.70e-190	1.04e+011	5.37e+009	2.20e+010	7.71e+010	2.40e-189	2.82e+014	1.65e+014	3.27e+011	9.44e+014	1.41e+009	7.42e+009	2.42e+014	1.57e+018	5.99e+007
0.335	1.14e+008	1.02e+005	6.77e+008	1.56e-192	1.06e+011	5.63e+009	2.26e+010	7.83e+010	3.91e-192	2.88e+014	1.68e+014	3.45e+011	9.67e+014	1.49e+009	7.81e+009	2.45e+014	1.57e+018	6.41e+007
0.340	1.20e+008	1.11e+005	7.17e+008	2.49e-195	1.08e+011	5.91e+009	2.31e+010	7.96e+010	6.28e-195	2.95e+014	1.70e+014	3.64e+011	9.90e+014	1.58e+009	8.22e+009	2.48e+014	1.57e+018	6.56e+007
0.345	1.27e+008	1.20e+005	7.60e+008	3.90e-198	1.10e+011	6.21e+009	2.37e+010	8.08e+010	9.95e-198	3.01e+014	1.73e+014	3.83e+011	1.01e+015	1.67e+009	8.65e+009	2.51e+014	1.57e+018	6.47e+007
0.350	1.34e+008	1.30e+005	8.04e+008	6.04e-201	1.12e+011	6.51e+009	2.42e+010	8.21e+010	1.56e-200	3.07e+014	1.76e+014	4.04e+011	1.04e+015	1.76e+009	9.09e+009	2.54e+014	1.57e+018	6.49e+007
0.355	1.42e+008	1.41e+005	8.51e+008	9.22e-204	1.14e+011	6.83e+009	2.48e+010	8.34e+010	2.40e-203	3.14e+014	1.79e+014	4.26e+011	1.06e+015	1.86e+009	9.55e+009	2.56e+014	1.57e+018	6.65e+007
0.360	1.50e+008	1.52e+005	9.00e+008	1.39e-206	1.17e+011	7.16e+009	2.53e+010	8.47e+010	3.65e-206	3.21e+014	1.81e+014	4.49e+011	1.09e+015	1.97e+009	1.00e+010	2.59e+014	1.57e+018	6.66e+007
0.365	1.58e+008	1.65e+005	9.52e+008	2.07e-209	1.19e+011	7.50e+009	2.59e+010	8.60e+010	5.49e-209	3.27e+014	1.84e+014	4.72e+011	1.11e+015	2.08e+009	1.05e+010	2.62e+014	1.56e+018	6.90e+007
0.370	1.67e+008	1.78e+005	1.01e+009	3.04e-212	1.21e+011	7.86e+009	2.65e+010	8.74e+010	8.14e-212	3.34e+014	1.87e+014	4.97e+011	1.14e+015	2.20e+009	1.11e+010	2.64e+014	1.56e+018	6.88e+007
0.375	1.76e+008	1.92e+005	1.06e+009	4.41e-215	1.23e+011	8.23e+009	2.70e+010	8.87e+010	1.19e-214	3.41e+014	1.90e+014	5.24e+011	1.16e+015	2.32e+009	1.16e+010	2.67e+014	1.56e+018	6.66e+007
0.380	1.86e+008	2.08e+005	1.12e+009	6.33e-218	1.25e+011	8.61e+009	2.76e+010	9.01e+010	1.73e-217	3.48e+014	1.93e+014	5.51e+011	1.19e+015	2.45e+009	1.22e+010	2.69e+014	1.56e+018	6.48e+007
0.385	1.96e+008	2.24e+005	1.19e+009	8.96e-221	1.28e+011	9.02e+009	2.82e+010	9.15e+010	2.47e-220	3.56e+014	1.96e+014	5.80e+011	1.22e+015	2.58e+009	1.28e+010	2.72e+014	1.56e+018	6.38e+007
0.390	2.07e+008	2.42e+005	1.26e+009	1.25e-223	1.30e+011	9.44e+009	2.88e+010	9.28e+010	3.48e-223	3.63e+014	2.00e+014	6.10e+011	1.24e+015	2.73e+009	1.34e+010	2.74e+014	1.56e+018	6.12e+007
0.395	2.18e+008	2.62e+005	1.33e+009	1.74e-226	1.33e+011	9.88e+009	2.95e+010	9.43e+010	4.86e-226	3.70e+014	2.03e+014	6.42e+011	1.27e+015	2.88e+009	1.41e+010	2.77e+014	1.56e+018	6.16e+007
0.400	2.29e+008	2.82e+005	1.40e+009	2.37e-229	1.35e+011	1.03e+010	3.01e+010	9.57e+010	6.71e-229	3.78e+014	2.06e+014	6.75e+011	1.30e+015	3.03e+009	1.48e+010	2.79e+014	1.56e+018	6.09e+007
0.405	2.41e+008	3.05e+005	1.48e+009	3.21e-232	1.37e+011	1.08e+010	3.07e+010	9.71e+010	9.16e-232	3.86e+014	2.10e+014	7.10e+011	1.33e+015	3.20e+009	1.55e+010	2.82e+014	1.56e+018	6.30e+007
0.410	2.54e+008	3.29e+005	1.56e+009	4.30e-235	1.40e+011	1.13e+010	3.13e+010	9.86e+010	1.24e-234	3.94e+014	2.14e+014	7.46e+011	1.36e+015	3.37e+009	1.62e+010	2.84e+014	1.56e+018	6.10e+007
0.415	2.67e+008	3.55e+005	1.65e+009	5.68e-238	1.43e+011	1.18e+010	3.20e+010	1.00e+011	1.65e-237	4.02e+014	2.17e+014	7.85e+011	1.39e+015	3.56e+009	1.70e+010	2.87e+014	1.55e+018	5.85e+007
0.420	2.81e+008	3.84e+005	1.74e+009	7.44e-241	1.45e+011	1.24e+010	3.27e+010	1.02e+011	2.17e-240	4.10e+014	2.21e+014	8.25e+011	1.42e+015	3.75e+009	1.79e+010	2.89e+014	1.55e+018	6.14e+007
0.425	2.96e+008	4.14e+005	1.84e+009	9.63e-244	1.48e+011	1.29e+010	3.33e+010	1.03e+011	2.84e-243	4.19e+014	2.25e+014	8.68e+011	1.45e+015	3.95e+009	1.87e+010	2.91e+014	1.55e+018	6.28e+007
0.430	3.11e+008	4.47e+005	1.95e+009	1.23e-246	1.51e+011	1.35e+010	3.40e+010	1.05e+011	3.66e-246	4.27e+014	2.29e+014	9.13e+011	1.49e+015	4.17e+009	1.96e+010	2.94e+014	1.55e+018	6.49e+007
0.435	3.28e+008	4.83e+005	2.06e+009	1.56e-249	1.53e+011	1.41e+010	3.47e+010	1.06e+011	4.68e-249	4.36e+014	2.33e+014	9.60e+011	1.52e+015	4.39e+009	2.06e+010	2.96e+014	1.55e+018	6.92e+007
0.440	3.44e+008	5.22e+005	2.17e+009	1.96e-252	1.56e+011	1.48e+010	3.54e+010	1.08e+011	5.92e-252	4.45e+014	2.38e+014	1.01e+012	1.56e+015	4.63e+009	2.16e+010	2.98e+014	1.55e+018	7.29e+007
0.445	3.62e+008	5.63e+005	2.30e+009	2.44e-255	1.59e+011	1.55e+010	3.61e+010	1.09e+011	7.41e-255	4.54e+014	2.42e+014	1.06e+012	1.59e+015	4.88e+009	2.26e+010	3.00e+014	1.55e+018	7.41e+007
0.450	3.81e+008	6.09e+005	2.43e+009	3.00e-258	1.62e+011	1.62e+010	3.69e+010	1.11e+011	9.19e-258	4.64e+014	2.47e+014	1.12e+012	1.63e+015	5.15e+009	2.37e+010	3.03e+014	1.55e+018	7.09e+007
0.455	4.01e+008	6.59e+005	2.57e+009	3.66e-261	1.65e+011	1.69e+010	3.76e+010	1.13e+011	1.13e-260	4.74e+014	2.52e+014	1.18e+012	1.67e+015	5.43e+009	2.48e+010	3.05e+014	1.54e+018	7.73e+007
0.460	4.21e+008	7.12e+005	2.72e+009	4.42e-264	1.68e+011	1.77e+010	3.84e+010	1.14e+011	1.37e-263	4.84e+014	2.57e+014	1.24e+012	1.70e+015	5.73e+009	2.60e+010	3.07e+014	1.54e+018	8.10e+007
0.465	4.43e+008	7.71e+005	2.88e+009	5.29e-267	1.72e+011	1.85e+010	3.92e+010	1.16e+011	1.65e-266	4.94e+014	2.62e+014	1.30e+012	1.74e+015	6.05e+009	2.73e+010	3.09e+014	1.54e+018	8.47e+007
0.470	4.66e+008	8.36e+005	3.05e+009	6.26e-270	1.75e+011	1.94e+010	4.00e+010	1.18e+011	1.97e-269	5.05e+014	2.67e+014	1.37e+012	1.78e+015	6.38e+009	2.87e+010	3.11e+014	1.54e+018	8.21e+007
0.475	4.90e+008	9.07e+005	3.23e+009	7.36e-273	1.78e+011	2.03e+010	4.08e+010	1.20e+011	2.32e-272	5.16e+014	2.73e+014	1.45e+012	1.83e+015	6.74e+009	3.01e+010	3.13e+014	1.54e+018	8.12e+007
0.480	5.15e+008	9.85e+005	3.43e+009	8.56e-276	1.82e+011	2.13e+010	4.16e+010	1.22e+011	2.72e-275	5.28e+014	2.79e+014	1.53e+012	1.87e+015	7.12e+009	3.16e+010	3.15e+014	1.54e+018	7.30e+007
0.485	5.42e+008	1.07e+006	3.64e+009	8.03e-277	1.86e+011	2.24e+010	4.25e+010	1.24e+011	2.62e-277	5.39e+014	2.86e+014	1.62e+012	1.92e+015	7.53e+009	3.33e+010	3.17e+014	1.54e+018	6.05e+007
0.490	5.70e+008	1.17e+006	3.87e+009	7.98e-274	1.89e+011	2.35e+010	4.34e+010	1.26e+011	2.19e-274	5.52e+014	2.92e+014	1.71e+012	1.97e+015	7.97e+009	3.50e+010	3.19e+014	1.53e+018	4.07e+007
0.495	6.00e+008	1.27e+006	4.13e+009	7.93e-271	1.93e+011	2.47e+010	4.43e+010	1.28e+011	2.06e-271	5.65e+014	2.99e+014	1.81e+012	2.01e+015	8.45e+009	3.69e+010	3.21e+014	1.53e+018	1.66e+007
0.500	6.32e+008	1.39e+006	4.40e+009	7.81e-268	1.98e+011	2.60e+010	4.53e+010	1.30e+011	1.92e-268	5.78e+014	3.07e+014	1.92e+012	2.07e+015	8.97e+009	3.90e+010	3.22e+014	1.53e+018	2.02e+007
0.505	6.65e+008	1.53e+006	4.71e+009	7.60e-265	2.02e+011	2.74e+010	4.62e+010	1.32e+011	1.77e-265	5.92e+014	3.15e+014	2.04e+012	2.12e+015	9.53e+009	4.12e+010	3.24e+014	1.53e+018	6.14e+007
0.510	7.00e+008	1.68e+006	5.04e+009	7.32e-262	2.06e+011	2.89e+010	4.73e+010	1.35e+011	1.61e-262	6.07e+014	3.23e+014	2.17e+012	2.18e+015	1.01e+010	4.36e+010	3.26e+014	1.53e+018	1.15e+008
0.515	7.38e+008	1.85e+006	5.41e+009	6.97e-259	2.11e+011	3.05e+010	4.83e+010	1.37e+011	1.45e-259	6.22e+014	3.32e+014	2.32e+012	2.24e+015	1.08e+010	4.63e+010	3.28e+014	1.53e+018	1.77e+008
0.520	7.78e+008	2.05e+006	5.83e+009	6.56e-256	2.16e+011	3.22e+010	4.94e+010	1.40e+011	1.29e-256	6.38e+014	3.42e+014	2.48e+012	2.30e+015	1.16e+010	4.93e+010	3.29e+014	1.52e+018	2.35e+008
0.525	8.21e+008	2.28e+006	6.29e+009	6.11e-253	2.21e+011	3.41e+010	5.06e+010	1.42e+011	1.14e-253	6.55e+014	3.52e+014	2.66e+012	2.36e+015	1.24e+010	5.26e+010	3.31e+014	1.52e+018	2.99e+008
0.530	8.66e+008	2.55e+006	6.82e+009	5.62e-250	2.27e+011	3.62e+010	5.17e+010	1.45e+011	9.89e-251	6.73e+014	3.63e+014	2.85e+012	2.43e+015	1.33e+010	5.62e+010	3.32e+014	1.52e+018	3.51e+008
