r,cm	e	O+	O2+	O3+	O4+	O-	O2-	O3-	O4-	O2[a]	O2[b]	O2[Hz]	O	O[1D]	O[1S]	O3	O2	Charge
2.14e-011	1.22e-014	1.31e-010	7.75e-159	4.50e-008	1.28e-009	8.50e-009	3.53e-008	1.57e-158	1.16e-004	7.87e-005	7.16e-008	3.71e-004	2.85e-010	1.69e-009	1.18e-004	9.99e-001	
2.30e-011	1.34e-014	1.40e-010	1.68e-161	4.61e-008	1.36e-009	8.78e-009	3.60e-008	3.45e-161	1.19e-004	8.00e-005	7.64e-008	3.82e-004	3.05e-010	1.80e-009	1.20e-004	9.99e-001	
2.47e-011	1.48e-014	1.50e-010	3.59e-164	4.71e-008	1.44e-009	9.05e-009	3.67e-008	7.43e-164	1.22e-004	8.14e-005	8.15e-008	3.93e-004	3.27e-010	1.91e-009	1.22e-004	9.99e-001	
2.65e-011	1.62e-014	1.60e-010	7.50e-167	4.82e-008	1.53e-009	9.33e-009	3.75e-008	1.57e-166	1.25e-004	8.27e-005	8.68e-008	4.05e-004	3.50e-010	2.03e-009	1.24e-004	9.99e-001	
2.84e-011	1.78e-014	1.71e-010	1.54e-169	4.93e-008	1.62e-009	9.62e-009	3.82e-008	3.26e-169	1.28e-004	8.41e-005	9.24e-008	4.17e-004	3.75e-010	2.16e-009	1.26e-004	9.99e-001	
3.04e-011	1.96e-014	1.83e-010	3.10e-172	5.04e-008	1.72e-009	9.91e-009	3.89e-008	6.65e-172	1.32e-004	8.55e-005	9.82e-008	4.28e-004	4.01e-010	2.29e-009	1.28e-004	9.99e-001	
3.25e-011	2.14e-014	1.95e-010	6.14e-175	5.16e-008	1.82e-009	1.02e-008	3.97e-008	1.33e-174	1.35e-004	8.69e-005	1.04e-007	4.40e-004	4.28e-010	2.43e-009	1.30e-004	9.99e-001	
3.47e-011	2.35e-014	2.08e-010	1.19e-177	5.27e-008	1.92e-009	1.05e-008	4.04e-008	2.62e-177	1.39e-004	8.83e-005	1.11e-007	4.53e-004	4.57e-010	2.58e-009	1.33e-004	9.99e-001	
3.70e-011	2.57e-014	2.21e-010	2.28e-180	5.38e-008	2.03e-009	1.08e-008	4.12e-008	5.06e-180	1.42e-004	8.97e-005	1.18e-007	4.65e-004	4.88e-010	2.73e-009	1.35e-004	9.99e-001	
3.95e-011	2.81e-014	2.36e-010	4.29e-183	5.50e-008	2.14e-009	1.11e-008	4.19e-008	9.63e-183	1.46e-004	9.11e-005	1.25e-007	4.78e-004	5.20e-010	2.89e-009	1.37e-004	9.99e-001	
