E/N,Td	Vdr,cm/s	Te,eV	Mue*N,1/(cm*s*V)	De*N,1/(cm*s)		MuE*N,1/(cm*s*V)	DE*N,1/(cm*s)	(R1)e+O->e+O[1D]	(R2)e+O[1D]->e+O	(R3)e+O->e+O[1S]	(R4)e+O[1S]->e+O	(R5)e+O2->e+O2[a]	(R6)e+O2[a]->e+O2	(R7)e+O2->e+O2[b]	(R8)e+O2[b]->e+O2	(R9)e+O2[a]->e+O2[b]	(R10)e+O2[b]->e+O2[a]	(R11)e+O2->e+O2[Hz]	(R12)e+O2[Hz]->e+O2	(R13)e+O2->e+O+O	(R14)e+O2->e+O+O[1D]	(R15)e+O2->e+O+O[1S]	(R16)e+O2->O+O-	(R17)e+O2->O2++e+e	(R18)e+O->O++e+e	(R19)e+O2->O2++e+e	
250.00	2.894e+007	5.183e+000	1.158e+022	6.633e+022	1.645e+022	8.015e+022	4.999e-009	1.237e-008	3.297e-010	6.307e-009	7.637e-010	1.355e-009	2.215e-010	8.511e-010	2.254e-010	4.894e-010	7.527e-010	1.355e-009	1.036e-009	4.735e-009	2.117e-010	3.826e-011	8.449e-010	1.291e-009	4.129e-011	
255.00	2.943e+007	5.242e+000	1.154e+022	6.667e+022	1.639e+022	8.080e+022	4.998e-009	1.233e-008	3.326e-010	6.303e-009	7.646e-010	1.354e-009	2.218e-010	8.501e-010	2.255e-010	4.892e-010	7.491e-010	1.343e-009	1.051e-009	4.867e-009	2.196e-010	3.795e-011	8.960e-010	1.366e-009	4.539e-011	
260.00	2.992e+007	5.302e+000	1.151e+022	6.700e+022	1.633e+022	8.144e+022	4.997e-009	1.229e-008	3.354e-010	6.299e-009	7.653e-010	1.353e-009	2.220e-010	8.490e-010	2.255e-010	4.889e-010	7.455e-010	1.331e-009	1.067e-009	4.999e-009	2.276e-010	3.764e-011	9.484e-010	1.442e-009	4.973e-011	
265.00	3.041e+007	5.361e+000	1.148e+022	6.734e+022	1.627e+022	8.210e+022	4.995e-009	1.224e-008	3.381e-010	6.295e-009	7.660e-010	1.352e-009	2.223e-010	8.479e-010	2.256e-010	4.887e-010	7.418e-010	1.319e-009	1.082e-009	5.131e-009	2.357e-010	3.733e-011	1.002e-009	1.519e-009	5.432e-011	
270.00	3.091e+007	5.420e+000	1.145e+022	6.768e+022	1.622e+022	8.275e+022	4.992e-009	1.220e-008	3.408e-010	6.290e-009	7.667e-010	1.351e-009	2.225e-010	8.468e-010	2.256e-010	4.884e-010	7.381e-010	1.308e-009	1.096e-009	5.262e-009	2.437e-010	3.703e-011	1.057e-009	1.598e-009	5.916e-011	
275.00	3.140e+007	5.479e+000	1.142e+022	6.801e+022	1.617e+022	8.340e+022	4.989e-009	1.216e-008	3.433e-010	6.286e-009	7.672e-010	1.349e-009	2.227e-010	8.457e-010	2.256e-010	4.881e-010	7.344e-010	1.297e-009	1.110e-009	5.392e-009	2.517e-010	3.673e-011	1.114e-009	1.678e-009	6.425e-011	
280.00	3.189e+007	5.537e+000	1.139e+022	6.835e+022	1.611e+022	8.405e+022	4.986e-009	1.212e-008	3.458e-010	6.280e-009	7.676e-010	1.348e-009	2.229e-010	8.446e-010	2.256e-010	4.878e-010	7.307e-010	1.286e-009	1.124e-009	5.521e-009	2.598e-010	3.643e-011	1.171e-009	1.760e-009	6.958e-011	
285.00	3.238e+007	5.595e+000	1.136e+022	6.869e+022	1.606e+022	8.471e+022	4.982e-009	1.207e-008	3.481e-010	6.275e-009	7.680e-010	1.347e-009	2.231e-010	8.434e-010	2.256e-010	4.874e-010	7.270e-010	1.276e-009	1.137e-009	5.650e-009	2.679e-010	3.614e-011	1.230e-009	1.843e-009	7.516e-011	
290.00	3.288e+007	5.653e+000	1.134e+022	6.902e+022	1.602e+022	8.536e+022	4.978e-009	1.203e-008	3.504e-010	6.270e-009	7.683e-010	1.345e-009	2.232e-010	8.423e-010	2.256e-010	4.871e-010	7.233e-010	1.265e-009	1.149e-009	5.778e-009	2.759e-010	3.585e-011	1.290e-009	1.927e-009	8.098e-011	
295.00	3.337e+007	5.710e+000	1.131e+022	6.936e+022	1.597e+022	8.601e+022	4.973e-009	1.199e-008	3.527e-010	6.264e-009	7.685e-010	1.344e-009	2.233e-010	8.411e-010	2.256e-010	4.867e-010	7.196e-010	1.256e-009	1.162e-009	5.905e-009	2.840e-010	3.556e-011	1.351e-009	2.012e-009	8.705e-011	
